timestamp,open,high,low,close,volume
2022-02-08 16:00:00,43429.32,43685.2,42666.0,42953.86,5944.45444
2022-02-08 18:00:00,42953.87,43259.8,42700.0,42998.65,3150.71874
2022-02-08 20:00:00,43000.53,44393.36,42938.36,44180.36,6159.54019
2022-02-08 22:00:00,44180.0,44299.98,43865.22,44042.99,1916.39332
2022-02-09 00:00:00,44043.0,44341.88,43800.39,43861.21,3111.67531
2022-02-09 02:00:00,43861.22,43926.83,43117.92,43343.28,3210.67542
2022-02-09 04:00:00,43343.28,43749.0,43125.0,43584.93,1976.60398
2022-02-09 06:00:00,43584.93,43918.52,43416.21,43807.75,2655.09953
2022-02-09 08:00:00,43807.75,43939.0,43181.91,43386.75,2699.62392
2022-02-09 10:00:00,43386.75,43824.35,43365.44,43715.45,2558.47183
2022-02-09 12:00:00,43715.46,44471.4,43617.61,43938.87,4744.39627
2022-02-09 14:00:00,43938.87,44265.41,43780.73,43867.63,3067.19789
2022-02-09 16:00:00,43867.63,44318.77,43579.66,44066.0,2993.30927
2022-02-09 18:00:00,44066.01,44700.0,43922.14,44463.43,3196.14616
2022-02-09 20:00:00,44466.23,44799.0,44342.03,44452.14,2374.70338
2022-02-09 22:00:00,44452.14,44591.0,44189.0,44372.72,1840.26433
2022-02-10 00:00:00,44372.71,44400.0,44028.57,44253.22,2666.134
2022-02-10 02:00:00,44253.23,44360.0,43542.14,43775.42,2691.29565
2022-02-10 04:00:00,43775.42,43911.57,43575.22,43879.78,1527.86335
2022-02-10 06:00:00,43879.78,44131.6,43757.57,44092.42,1818.86708
2022-02-10 08:00:00,44092.43,44499.0,44055.86,44400.01,2394.17424
2022-02-10 10:00:00,44400.0,45177.96,44361.36,44834.09,4860.66893
2022-02-10 12:00:00,44834.09,45060.0,43630.01,43642.98,10236.97398
2022-02-10 14:00:00,43642.98,45669.71,43174.01,44947.1,14732.62208
2022-02-10 16:00:00,44947.12,45821.0,44846.59,45330.43,8357.25032
2022-02-10 18:00:00,45330.43,45400.0,44341.07,44373.97,5023.85645
2022-02-10 20:00:00,44373.95,44601.14,43700.0,43749.99,5041.00195
2022-02-10 22:00:00,43749.3,44079.45,43333.42,43495.44,3006.58288
2022-02-11 00:00:00,43495.44,43749.86,42600.0,43169.78,7488.2442
2022-02-11 02:00:00,43169.78,43408.63,42817.93,43343.71,2622.6831
2022-02-11 04:00:00,43342.92,43370.79,42836.0,42848.1,1996.96398
2022-02-11 06:00:00,42848.09,43416.22,42814.23,43359.25,1944.77408
2022-02-11 08:00:00,43359.24,43600.0,42851.0,43492.64,3425.32259
2022-02-11 10:00:00,43492.63,43569.67,43233.67,43357.53,2050.1511
2022-02-11 12:00:00,43357.53,43826.0,43253.31,43765.14,2881.79874
2022-02-11 14:00:00,43765.15,43920.0,43284.4,43669.01,4699.30296
2022-02-11 16:00:00,43669.02,43767.16,43374.02,43417.18,2862.741
2022-02-11 18:00:00,43417.18,43500.0,42050.0,42742.63,7748.13565
2022-02-11 20:00:00,42742.63,42865.58,42217.55,42543.6,4364.18922
2022-02-11 22:00:00,42542.02,42604.19,41938.51,42373.73,2890.86208
2022-02-12 00:00:00,42373.73,42485.66,42221.38,42447.82,1853.22204
2022-02-12 02:00:00,42447.83,42480.55,42156.99,42288.46,1435.07261
